Country,Life Expectancy (both sexes)
Hong Kong,85.29
Japan,85.03
Macao,84.68
Switzerland,84.25
Singapore,84.07
Italy,84.01
Spain,83.99
Australia,83.94
Channel Islands,83.6
Iceland,83.52
South Korea,83.5
Israel,83.49
Sweden,83.33
Martinique,83.13
France,83.13
Malta,83.06
Canada,82.96
Norway,82.94
Ireland,82.81
New Zealand,82.8
Greece,82.8
Luxembourg,82.79
Netherlands,82.78
Guadeloupe,82.74
Portugal,82.65
Finland,82.48
Belgium,82.17
Austria,82.05
Germany,81.88
Slovenia,81.85
United Kingdom,81.77
Réunion,81.55
Cyprus,81.51
Denmark,81.4
U.S. Virgin Islands,81.17
Taiwan,81.04
Costa Rica,80.94
Guam,80.74
Chile,80.74
Qatar,80.73
Puerto Rico,80.69
French Guiana,80.53
Maldives,79.89
Mayotte,79.85
Czech Republic (Czechia),79.85
Barbados,79.64
Curaçao,79.41
Lebanon,79.27
Poland,79.27
Estonia,79.18
Cuba,79.18
United States,79.11
Panama,79.1
Croatia,79.02
Albania,78.96
Oman,78.58
United Arab Emirates,78.46
Turkey,78.45
Uruguay,78.43
French Polynesia,78.23
New Caledonia,78.16
Slovakia,78.0
Bosnia and Herzegovina,77.93
Colombia,77.87
Thailand,77.74
Bahrain,77.73
Ecuador,77.71
Sri Lanka,77.56
Algeria,77.5
Antigua and Barbuda,77.47
China,77.47
Peru,77.44
Morocco,77.43
Montenegro,77.39
Tunisia,77.36
Iran,77.33
Hungary,77.31
Argentina,77.17
Aruba,76.79
Saint Lucia,76.67
Malaysia,76.65
Brazil,76.57
Romania,76.5
Serbia,76.47
Lithuania,76.41
Brunei,76.35
North Macedonia,76.26
Syria,76.06
Honduras,75.87
Kuwait,75.85
Vietnam,75.77
Latvia,75.73
Saudi Arabia,75.69
Armenia,75.55
Mauritius,75.51
Bulgaria,75.49
Mexico,75.41
Nicaragua,75.23
Belarus,75.2
Belize,75.09
Guatemala,75.05
Jordan,75.01
Jamaica,74.88
Dominican Republic,74.65
State of Palestine,74.62
Paraguay,74.59
Bahamas,74.28
Georgia,74.24
El Salvador,74.06
Trinidad and Tobago,73.91
Kazakhstan,73.9
Samoa,73.75
Seychelles,73.74
Cabo Verde,73.58
Bangladesh,73.57
Libya,73.44
Solomon Islands,73.38
Azerbaijan,73.33
Russia,72.99
St. Vincent & Grenadines,72.98
North Korea,72.89
Bhutan,72.77
Grenada,72.59
Egypt,72.54
Ukraine,72.5
Bolivia,72.35
Venezuela,72.34
Indonesia,72.32
Moldova,72.3
Suriname,72.13
Uzbekistan,72.04
Kyrgyzstan,71.95
Tajikistan,71.76
Nepal,71.74
Philippines,71.66
Tonga,71.32
Western Sahara,71.08
Iraq,71.08
Sao Tome & Principe,71.01
Vanuatu,70.99
Cambodia,70.54
Mongolia,70.53
India,70.42
Guyana,70.26
Timor-Leste,70.18
Rwanda,70.0
Botswana,69.86
Kiribati,69.17
Laos,68.89
Senegal,68.87
Turkmenistan,68.63
Madagascar,68.21
Fiji,67.91
Djibouti,67.87
Ethiopia,67.81
Pakistan,67.79
Myanmar,67.78
Eritrea,67.48
Kenya,67.47
Gabon,67.03
Yemen,66.44
Tanzania,66.39
Sudan,66.09
Afghanistan,65.98
Malawi,65.62
Mauritania,65.57
Papua New Guinea,65.22
Congo,65.21
Comoros,65.03
Liberia,65.0
Haiti,64.99
Ghana,64.94
South Africa,64.88
Namibia,64.86
Zambia,64.7
Uganda,64.38
Niger,63.62
Gambia,63.26
Burkina Faso,62.98
Benin,62.84
Burundi,62.71
Guinea,62.64
Angola,62.22
Zimbabwe,62.16
Togo,62.13
Mozambique,62.13
DR Congo,61.6
Eswatini,61.05
Mali,60.54
Cameroon,60.32
Equatorial Guinea,59.82
Guinea-Bissau,59.38
Côte d'Ivoire,58.75
South Sudan,58.74
Somalia,58.34
Sierra Leone,55.92
Nigeria,55.75
Lesotho,55.65
Chad,55.17
Central African Republic,54.36
